strategy,net_usd,credibility,basis
B01-01,58.84,OVERSTATED,position-equity-credit
B01-02,47.33,OVERSTATED,position-equity-credit
B01-03,52.31,OVERSTATED,position-equity-credit
B01-04,68.98,OVERSTATED,position-equity-credit
B01-05,14.52,OVERSTATED,position-equity-credit
B01-06,58.84,OVERSTATED,position-equity-credit
B01-07,70.82,OVERSTATED,position-equity-credit
B01-08,98.04,OVERSTATED,position-equity-credit
B02-01,0.00,,flat/no-edge
B02-02,0.00,,flat/no-edge
B02-03,0.00,,flat/no-edge
B02-04,0.00,,flat/no-edge
B02-05,0.00,,flat/no-edge
B02-06,0.00,,flat/no-edge
B02-07,0.00,,flat/no-edge
B02-08,0.00,,flat/no-edge
B03-01,0.00,,flat/no-edge
B03-02,74.12,OVERSTATED,position-equity-credit
B03-03,168.34,OVERSTATED,position-equity-credit
B03-04,0.00,,flat/no-edge
B03-05,0.00,,flat/no-edge
B03-06,322.15,OVERSTATED,position-equity-credit
B03-07,252.51,OVERSTATED,position-equity-credit
B03-08,347.76,OVERSTATED,position-equity-credit
B04-01,179394.73,OVERSTATED,"position-mark (PT@face, redeem reverted)"
B04-02,3263.54,OVERSTATED,"position-mark (PT@face, redeem reverted)"
B04-03,-0.00,,flat/no-edge
B04-04,89614.27,OVERSTATED,"position-mark (PT@face, redeem reverted)"
B04-05,1137.50,OVERSTATED,"position-mark (PT@face, redeem reverted)"
B04-06,49.26,OVERSTATED,"position-mark (PT@face, redeem reverted)"
B04-07,-0.00,,flat/no-edge
B04-08,3263.54,OVERSTATED,"position-mark (PT@face, redeem reverted)"
B04-09,1651.89,OVERSTATED,"position-mark (PT@face, redeem reverted)"
B05-01,47.38,OVERSTATED,modeled-carry/deal-funded
B05-02,0.00,,flat/no-edge
B05-03,1544.43,OVERSTATED,modeled-carry/deal-funded
B05-04,965.07,OVERSTATED,modeled-carry/deal-funded
B05-05,2623.56,OVERSTATED,modeled-carry/deal-funded
B05-06,61.78,OVERSTATED,modeled-carry/deal-funded
B05-07,629.90,OVERSTATED,modeled-carry/deal-funded
B05-08,13.78,OVERSTATED,modeled-carry/deal-funded
B06-01,0.00,,flat/no-edge
B06-02,22343.61,OVERSTATED,position-equity-credit
B06-03,213.74,OVERSTATED,position-equity-credit
B06-04,0.00,,flat/no-edge
B06-05,0.00,,flat/no-edge
B06-06,0.00,,flat/no-edge
B06-07,28923.22,OVERSTATED,position-equity-credit
B06-08,96.31,OVERSTATED,position-equity-credit
B07-01,0.00,,flat/no-edge
B07-02,0.00,,flat/no-edge
B07-03,0.00,,flat/no-edge
B07-04,0.00,,flat/no-edge
B07-05,0.00,,flat/no-edge
B07-06,0.00,,flat/no-edge
B07-07,0.00,,flat/no-edge
B07-08,0.00,,flat/no-edge
B07-09,0.00,,flat/no-edge
B08-01,526.93,OVERSTATED,modeled-carry/deal-funded
B08-02,1183.07,OVERSTATED,modeled-carry/deal-funded
B08-03,4758.62,OVERSTATED,modeled-carry/deal-funded
B08-04,1263.07,OVERSTATED,modeled-carry/deal-funded
B08-05,564.89,OVERSTATED,modeled-carry/deal-funded
B08-06,8646.18,OVERSTATED,modeled-carry/deal-funded
B08-07,10844.82,OVERSTATED,modeled-carry/deal-funded
B08-08,4443.42,OVERSTATED,modeled-carry/deal-funded
B08-09,1030.51,OVERSTATED,modeled-carry/deal-funded
B09-01,0.00,,flat/no-edge
B09-02,0.06,CREDIBLE,real-tracked-gain
B09-03,80.55,OVERSTATED,position-equity-credit
B09-04,11.79,CREDIBLE,real-tracked-gain
B09-05,58.11,CREDIBLE,real-tracked-gain
B09-06,11.79,OVERSTATED,modeled-carry/deal-funded
B09-07,0.00,,flat/no-edge
B09-08,0.00,,flat/no-edge
B10-01,0.00,,flat/no-edge
B10-02,0.00,,flat/no-edge
B10-03,0.00,,flat/no-edge
B10-04,148.53,OVERSTATED,position-equity-credit
B10-05,0.00,,flat/no-edge
B10-06,0.00,,flat/no-edge
B10-07,8466.35,OVERSTATED,position-equity-credit
B10-08,374.30,OVERSTATED,position-equity-credit
B11-01,374.79,OVERSTATED,modeled-carry/deal-funded
B11-02,374.79,OVERSTATED,modeled-carry/deal-funded
B11-03,699.62,OVERSTATED,modeled-carry/deal-funded
B11-04,-0.00,,flat/no-edge
B11-05,699.62,OVERSTATED,modeled-carry/deal-funded
B11-06,364.93,OVERSTATED,modeled-carry/deal-funded
B11-07,699.62,OVERSTATED,modeled-carry/deal-funded
B11-08,124.03,OVERSTATED,modeled-carry/deal-funded
B11-09,-0.00,,flat/no-edge
B12-01,5422.61,OVERSTATED,modeled-carry/deal-funded
B12-02,0.00,,flat/no-edge
B12-03,0.00,,flat/no-edge
B12-04,12664.87,OVERSTATED,modeled-carry/deal-funded
B12-05,6839.93,OVERSTATED,modeled-carry/deal-funded
B12-06,6177.54,OVERSTATED,modeled-carry/deal-funded
B12-07,5129.25,OVERSTATED,modeled-carry/deal-funded
B12-08,0.00,,flat/no-edge
B12-09,6175.51,OVERSTATED,modeled-carry/deal-funded
B13-01,0.00,,flat/no-edge
B13-02,4.44,CREDIBLE,real-tracked-gain
B13-03,0.00,,flat/no-edge
B13-04,0.00,,flat/no-edge
B13-05,0.00,,flat/no-edge
B13-06,0.00,,flat/no-edge
B13-07,0.00,,flat/no-edge
B13-08,0.00,,flat/no-edge
B14-01,211.20,OVERSTATED,position-equity-credit
B14-02,1261.88,OVERSTATED,position-equity-credit
B14-03,327.12,OVERSTATED,position-equity-credit
B14-04,2079.29,OVERSTATED,position-equity-credit
B14-05,692.22,OVERSTATED,position-equity-credit
B14-06,247.79,OVERSTATED,position-equity-credit
B14-07,21.21,OVERSTATED,position-equity-credit
B14-08,1972.60,OVERSTATED,position-equity-credit
B15-01,365.50,OVERSTATED,modeled-carry/deal-funded
B15-02,202.46,OVERSTATED,modeled-carry/deal-funded
B15-03,0.00,,flat/no-edge
B15-04,843.14,OVERSTATED,modeled-carry/deal-funded
B15-05,85.48,OVERSTATED,modeled-carry/deal-funded
B15-06,432.74,OVERSTATED,modeled-carry/deal-funded
B15-07,0.00,,flat/no-edge
B15-08,469.00,OVERSTATED,modeled-carry/deal-funded
B15-09,386.19,OVERSTATED,modeled-carry/deal-funded
B15-10,3077.26,OVERSTATED,modeled-carry/deal-funded
