strategy,status,gas_used,gas_price_gwei,fee_eth,eth_price_usd,pnl_usd_pre_gas,gas_usd,net_usd,net_eth,credibility,cross_block,block_span
F01-01-wsteth-aave-emode-loop,PASS,2151086,20.0655,0.04316266,2562.92,50.0,110.62,-60.62,-0.02365369,OVERSTATED,yes,216000
F01-02-wsteth-morpho-flashloan-loop,PASS,469788,7.3329,0.00344489,3925.68,50.0,13.52,36.48,0.00929177,OVERSTATED,yes,216000
F01-03-reth-aave-flashloan-loop,PASS,1005312,18.1915,0.01828810,2636.41,2372767.39,48.21,2372719.17,899.98171190,OVERSTATED,yes,216000
F01-04-cbeth-aave-emode-loop,PASS,2369578,20.0655,0.04754681,2562.92,50.0,121.86,-71.86,-0.02803785,OVERSTATED,yes,648000
F01-05-sfrxeth-fraxlend-frax-loop,PASS,1028289,1.2985,0.00133528,2507.37,50.0,3.35,46.65,0.01860595,OVERSTATED,yes,216000
F01-06-wsteth-compound-v3-weth-comet,PASS,1434070,11.7536,0.01685547,2562.11,50.0,43.19,6.81,0.00265971,OVERSTATED,yes,216000
F01-07-reth-spark-dai-sdai-carry,PASS,1241473,6.3092,0.00783272,3163.0,146441.59,24.77,146416.82,46.29052351,OVERSTATED,yes,216000
F01-08-wsteth-aave-pendle-pt-hedge,PASS,2233025,7.3329,0.01637446,3925.68,50.0,64.28,-14.28,-0.00363780,OVERSTATED,yes,216000
F02-01-weeth-morpho-flashloop,PASS,453943,34.2294,0.01553820,2496.17,50.0,38.79,11.21,0.00449249,OVERSTATED,yes,216000
F02-02-ezeth-pendle-yt-points,PASS,84428,18.1915,0.00153587,2636.41,50.0,4.05,45.95,0.01742933,OVERSTATED,no,0
F02-03-pufeth-symbiotic-restack,PASS,322990,5.0074,0.00161735,3107.14,50.0,5.03,44.97,0.01447463,OVERSTATED,no,0
F02-04-weeth-aave-emode-loop,PASS,1940055,3.7908,0.00735439,3340.22,50.0,24.57,25.43,0.00761468,OVERSTATED,no,0
F02-05-rseth-karak-pendle-yt-morpho,PASS,737919,1.6369,0.00120791,3376.72,56.56,4.08,52.48,0.01554298,OVERSTATED,no,0
F02-06-pufeth-symbiotic-aave-emode-triple,PASS,1021822,2.9043,0.00296769,3550.58,50.0,10.54,39.46,0.01111452,OVERSTATED,yes,216000
F02-07-weeth-pendle-pt-yt-split-flashloop,PASS,322376,18.1915,0.00586449,2636.41,50.0,15.46,34.54,0.01310070,OVERSTATED,no,0
F02-08-weeth-fluid-smart-collateral-loop,PASS,48332,13.1714,0.00063660,3165.01,50.0,2.01,47.99,0.01516114,OVERSTATED,no,0
F03-01-steth-curve-depeg-lido-queue,PASS,233083,43.03,0.01002955,1781.35,37200.32,17.87,37182.46,20.87318551,CREDIBLE,no,0
F03-02-ezeth-balancer-depeg-renzo,PASS,121870,7.0461,0.00085871,3136.56,6273.11,2.69,6270.42,1.99914129,OVERSTATED,no,0
F03-03-reth-balancer-rateprovider-lag,PASS,121935,16.5904,0.00202295,3265.49,3265.49,6.61,3258.88,0.99797705,OVERSTATED,no,0
F03-04-multi-lst-triangular-curve,PASS,121888,11.082,0.00135076,1900.17,4750.43,2.57,4747.86,2.49864924,OVERSTATED,no,0
F03-05-wsteth-curve-univ3-triangular,PASS,121958,11.082,0.00135153,1900.17,3325.3,2.57,3322.73,1.74864847,OVERSTATED,no,0
F03-06-multi-lrt-triangular-balancer,PASS,121952,14.6108,0.00178182,3099.02,4958.43,5.52,4952.91,1.59821818,OVERSTATED,no,0
F03-07-cbeth-rate-update-curve-univ3,PASS,467213,20.0655,0.00937487,2562.92,158.2,24.03,134.18,0.05235256,CREDIBLE,no,0
F03-08-frxeth-sfrxeth-rate-mismatch,PASS,121724,7.9729,0.00097050,3653.47,7306.94,3.55,7303.39,1.99902950,OVERSTATED,no,0
F03-09-weeth-pectra-depeg,PASS,319884,4.8656,0.00155641,3300.0,14673.43,5.14,14668.29,4.44493681,OVERSTATED,no,0
F04-01-dssflash-psm-curve-3pool-depeg,PASS,42595,16.5696,0.00070578,1550.0,50.0,1.09,48.91,0.03155228,OVERSTATED,no,0
F04-02-sdai-spark-collateral-loop,PASS,3315764,15.5788,0.05165564,3900.0,1971.53,201.46,1770.07,0.45386397,CREDIBLE,no,0
F04-03-susds-spark-savings-rate-loop,PASS,4080788,3.7908,0.01546952,3400.0,3873.67,52.6,3821.07,1.12384469,CREDIBLE,no,0
F04-04-dssflash-psm-aave-usdc-supply-arb,PASS,919712,1.2079,0.00111097,2500.0,1.49,2.78,-1.28,-0.00051324,CREDIBLE,no,0
F04-05-daiusds-roundtrip-susds-slippage,PASS,474421,3.7908,0.00179844,3400.0,19550.25,6.11,19544.13,5.74827395,,no,0
F04-06-sdai-morpho-usdc-recursive,PASS,2454384,5.8869,0.01444873,2500.0,497.95,36.12,461.82,0.18472935,OVERSTATED,no,0
F04-07-dssflash-lusd-liquity-redemption-curve,PASS,42620,16.5696,0.00070620,1550.0,50.0,1.09,48.91,0.03155187,OVERSTATED,no,0
F04-08-sdai-spark-usdc-borrow-curve-recycle,PASS,4946372,15.5788,0.07705857,3900.0,195.48,300.53,-105.05,-0.02693547,OVERSTATED,no,0
F05-01-wsteth-llamma-band-arb,PASS,1071017,19.9758,0.02139439,3300.0,18876.51,70.6,18805.91,5.69875988,CREDIBLE,no,0
F05-02-wbtc-llamma-softliq-harvest,PASS,1099368,19.9758,0.02196073,3300.0,8092.03,72.47,8019.56,2.43017015,CREDIBLE,no,0
F05-03-wsteth-crvusd-leverage-loop,PASS,5597196,1.2985,0.00726823,2550.0,142837.08,18.53,142818.55,56.00727312,OVERSTATED,no,0
F05-04-crvusd-peg-flashmint-arb,PASS,1048887,21.6236,0.02268075,1800.0,300.02,40.83,259.19,0.14399434,CREDIBLE,no,0
F05-05-sfrxeth-crvusd-leverage-loop,PASS,2752799,19.9758,0.05498929,3300.0,342277.45,181.46,342095.99,103.66545006,OVERSTATED,yes,216000
F05-06-tbtc-crvusd-softliq-harvest,PASS,1702163,19.9758,0.03400202,3300.0,7089.97,112.21,6977.76,2.11447413,CREDIBLE,no,0
F05-07-crvusd-susde-morpho-recursive,PASS,2391255,1.2985,0.00310516,2550.0,5014.73,7.92,5006.82,1.96345719,OVERSTATED,yes,216000
F05-08-crvusd-llamma-curve-convex-loop,PASS,4349840,1.2985,0.00564848,2550.0,283838.53,14.4,283824.13,111.30358018,OVERSTATED,yes,100800
F06-01-lusd-redemption-arb-flashmint,PASS,1586045,28.3797,0.04501153,2305.83,50.0,103.79,-53.79,-0.02332737,OVERSTATED,no,0
F06-02-stability-pool-eth-gain-loop,PASS,659614,17.9212,0.01182108,1681.9,2500.0,19.88,2480.12,1.47459309,OVERSTATED,no,0
F06-03-bold-redemption-sniper-v2,PASS,788911,0.9746,0.00076886,2503.1,5000.0,1.92,4998.08,1.99675421,OVERSTATED,no,0
F06-04-bold-wsteth-leveraged-loop,PASS,325026,0.9746,0.00031677,2503.1,175956.53,0.79,175955.73,70.29512800,OVERSTATED,yes,216000
F06-05-bold-collateral-registry-redemption-flash,PASS,907585,1.1691,0.00106108,2499.43,50.0,2.65,47.35,0.01894347,OVERSTATED,no,0
F06-06-lusd-trove-sp-convex-boost,PASS,24904337,19.8582,0.49455460,1849.94,850.02,914.9,-64.88,-0.03506954,OVERSTATED,yes,216000
F06-07-lusd-gho-crvusd-triangle,PASS,2398559,11.1304,0.02669696,1208.72,50.0,32.27,17.73,0.01466912,OVERSTATED,no,0
F06-08-bold-sp-mint-recycle,PASS,283455,1.1691,0.00033140,2499.43,50.0,0.83,49.17,0.01967315,OVERSTATED,yes,648000
F07-01-pt-susde-morpho-loop,PASS,48550,1.6369,0.00007947,3376.72,1.0,0.27,0.73,0.00021667,OVERSTATED,no,0
F07-02-pt-weeth-morpho-loop,PASS,50325,1.2985,0.00006535,2507.37,249772.86,0.16,249772.7,99.61553231,OVERSTATED,no,0
F07-03-yt-weeth-points-speculation,PASS,248718,1.2985,0.00032297,2507.37,107137.5,0.81,107136.69,42.72876296,OVERSTATED,yes,1080000
F07-04-pt-sy-maturity-arb,PASS,523132,2.6439,0.00138311,3512.69,143.59,4.86,138.73,0.03949357,CREDIBLE,yes,30292
F07-05-pt-rseth-morpho-kelp-loop,SKIP,,,,,,,,,,,
F07-06-pt-usd0pp-cash-and-carry,PASS,329041,14.9319,0.00491322,2456.27,98900.0,12.07,98887.93,40.25932768,OVERSTATED,no,0
F07-07-pt-gho-aave-borrow-loop,PASS,50054,18.1915,0.00091056,2636.41,999208.03,2.4,999205.63,379.00262571,OVERSTATED,no,0
F07-08-pt-susds-spark-dssflash-loop,SKIP,,,,,,,,,,,
F07-09-yt-pufeth-symbiotic-stack,PASS,53518,1.2985,0.00006950,2507.37,82808.22,0.17,82808.04,33.02589726,OVERSTATED,yes,1080000
F08-01-susde-morpho-usdc-loop,PASS,51559,5.0074,0.00025818,3107.14,3246.58,0.8,3245.77,1.04461822,OVERSTATED,yes,216000
F08-02-usde-usdt-balancer-flash-curve-peg-arb,PASS,144765,3.6842,0.00053335,3256.05,1000.0,1.74,998.26,0.30658743,OVERSTATED,no,0
