strategy,category,fee_eth,net_usd,cross_block,status
F01-01-wsteth-aave-emode-loop,1a 质押息差杠杆,0.04316266,-60.62,yes,PASS
F01-02-wsteth-morpho-flashloan-loop,1a 质押息差杠杆,0.00344489,36.48,yes,PASS
F01-03-reth-aave-flashloan-loop,1a 质押息差杠杆,0.01828810,2372719.17,yes,PASS
F01-04-cbeth-aave-emode-loop,1a 质押息差杠杆,0.04754681,-71.86,yes,PASS
F01-05-sfrxeth-fraxlend-frax-loop,1a 质押息差杠杆,0.00133528,46.65,yes,PASS
F01-06-wsteth-compound-v3-weth-comet,1a 质押息差杠杆,0.01685547,6.81,yes,PASS
F01-07-reth-spark-dai-sdai-carry,1a 质押息差杠杆,0.00783272,146416.82,yes,PASS
F01-08-wsteth-aave-pendle-pt-hedge,1a 质押息差杠杆,0.01637446,-14.28,yes,PASS
F02-01-weeth-morpho-flashloop,1a 质押息差杠杆,0.01553820,11.21,yes,PASS
F02-04-weeth-aave-emode-loop,1a 质押息差杠杆,0.00735439,25.43,no,PASS
F02-06-pufeth-symbiotic-aave-emode-triple,1a 质押息差杠杆,0.00296769,39.46,yes,PASS
F02-08-weeth-fluid-smart-collateral-loop,1a 质押息差杠杆,0.00063660,47.99,no,PASS
F05-03-wsteth-crvusd-leverage-loop,1a 质押息差杠杆,0.00726823,142818.55,no,PASS
F05-05-sfrxeth-crvusd-leverage-loop,1a 质押息差杠杆,0.05498929,342095.99,yes,PASS
F06-04-bold-wsteth-leveraged-loop,1a 质押息差杠杆,0.00031677,175955.73,yes,PASS
F09-01-wsteth-morpho-flashloop-curve,1a 质押息差杠杆,0.00329043,1949.92,no,PASS
F09-06-rseth-morpho-flashloop-curve,1a 质押息差杠杆,0.00488672,30.82,no,PASS
F11-01-comet-usdc-weth-leverage-loop,1a 质押息差杠杆,0.00097958,47.44,yes,PASS
F11-02-fluid-wsteth-eth-smart-collateral-loop,1a 质押息差杠杆,0.00482345,37.28,no,PASS
F11-06-comet-eth-lido-wsteth-loop,1a 质押息差杠杆,0.01014310,-1.97,yes,PASS
F11-07-fluid-wsteth-usdc-dssflash-bootstrap,1a 质押息差杠杆,0.00463963,33.05,yes,PASS
F17-06-oeth-redeem-aave-emode-loop,1a 质押息差杠杆,0.00025701,49.16,no,PASS
F04-02-sdai-spark-collateral-loop,1b 稳定币息差杠杆,0.05165564,1770.07,no,PASS
F04-03-susds-spark-savings-rate-loop,1b 稳定币息差杠杆,0.01546952,3821.07,no,PASS
F04-06-sdai-morpho-usdc-recursive,1b 稳定币息差杠杆,0.01444873,461.82,no,PASS
F04-08-sdai-spark-usdc-borrow-curve-recycle,1b 稳定币息差杠杆,0.07705857,-105.05,no,PASS
F05-07-crvusd-susde-morpho-recursive,1b 稳定币息差杠杆,0.00310516,5006.82,yes,PASS
F05-08-crvusd-llamma-curve-convex-loop,1b 稳定币息差杠杆,0.00564848,283824.13,yes,PASS
F08-01-susde-morpho-usdc-loop,1b 稳定币息差杠杆,0.00025818,3245.77,yes,PASS
F08-04-susde-aave-stable-emode-loop,1b 稳定币息差杠杆,0.00019002,35341.85,yes,PASS
F08-07-usde-morpho-collateral-susde-loop,1b 稳定币息差杠杆,,,,FAIL
F09-02-susde-dai-morpho-flashloop,1b 稳定币息差杠杆,0.00418640,44.76,yes,PASS
F09-03-metamorpho-idle-vault-supply,1b 稳定币息差杠杆,0.00261925,9989.72,no,PASS
F10-01-gho-mint-balancer-carry,1b 稳定币息差杠杆,0.00108028,8864.81,yes,PASS
F10-02-emode-sdai-dai-spark-loop,1b 稳定币息差杠杆,0.04151309,9744.78,yes,PASS
F10-04-gho-stkaave-discounted-mint,1b 稳定币息差杠杆,0.00533635,28821.71,yes,PASS
F10-05-gho-curve-convex-3mech-boost,1b 稳定币息差杠杆,0.00410035,59.34,yes,PASS
F10-06-sdai-aave-usdc-spark-recursive,1b 稳定币息差杠杆,0.00181500,4323.75,yes,PASS
F10-07-gho-usde-curve-aave-3mech,1b 稳定币息差杠杆,0.01301004,859.62,yes,PASS
F10-08-aave-isolation-mode-farm,1b 稳定币息差杠杆,0.00294577,-10.76,yes,PASS
F16-01-lusd-trove-aave-usdc-supply-carry,1b 稳定币息差杠杆,0.03062555,1767.49,no,PASS
F16-04-gho-mint-lusd-stability-pool-carry,1b 稳定币息差杠杆,0.00152238,676.54,no,PASS
F16-06-crvusd-llamma-gho-collateral-loop,1b 稳定币息差杠杆,0.00239008,1452.79,no,PASS
F16-08-lusd-trove-crvusd-curve-convex-boost,1b 稳定币息差杠杆,0.00434795,1086.52,no,PASS
F17-01-usdm-curve-rebase-harvest,1b 稳定币息差杠杆,0.00032186,3520.46,yes,PASS
F17-02-syrupusdc-vs-susds-carry-rotation,1b 稳定币息差杠杆,0.00653580,1060.97,no,PASS
F17-04-ousd-rebase-aave-loop,1b 稳定币息差杠杆,0.00077914,323.04,no,PASS
F17-05-sUSDe-sUSDS-aave-emode-rotation,1b 稳定币息差杠杆,0.00038070,1149.99,no,PASS
F17-08-usdm-crvusd-llamma-amplified-carry,1b 稳定币息差杠杆,0.00029740,49.3,no,PASS
F18-03-ethena-curve-aave-usde-carry,1b 稳定币息差杠杆,0.00222136,9994.22,no,PASS
F02-07-weeth-pendle-pt-yt-split-flashloop,2 固定收益,0.00586449,34.54,no,PASS
F07-01-pt-susde-morpho-loop,2 固定收益,0.00007947,0.73,no,PASS
F07-02-pt-weeth-morpho-loop,2 固定收益,0.00006535,249772.7,no,PASS
F07-04-pt-sy-maturity-arb,2 固定收益,0.00138311,138.73,yes,PASS
F07-05-pt-rseth-morpho-kelp-loop,2 固定收益,,,,SKIP
F07-06-pt-usd0pp-cash-and-carry,2 固定收益,0.00491322,98887.93,no,PASS
F07-07-pt-gho-aave-borrow-loop,2 固定收益,0.00091056,999205.63,no,PASS
F07-08-pt-susds-spark-dssflash-loop,2 固定收益,,,,SKIP
F08-03-pt-susde-morpho-pendle-flashloop,2 固定收益,,,,FAIL
F08-05-pt-susde-aave-emode-dssflash-loop,2 固定收益,0.00018428,40273.37,yes,PASS
F09-05-pt-weeth-morpho-flashloop,2 固定收益,,,,FAIL
F09-07-pt-susde-pendle-hedged-morpho,2 固定收益,,,,FAIL
F11-05-fluid-susde-usdc-pendle-pt-loop,2 固定收益,0.00235662,607920.11,yes,PASS
F17-07-syrupUSDC-morpho-pendle-hedge,2 固定收益,0.00022343,49.49,no,PASS
F18-02-wsteth-pendle-pt-morpho-tier,2 固定收益,,,,FAIL
F18-04-balancer-pendle-morpho-pt-susde,2 固定收益,,,,FAIL
F02-02-ezeth-pendle-yt-points,3 积分空投,0.00153587,45.95,no,PASS
F02-03-pufeth-symbiotic-restack,3 积分空投,0.00161735,44.97,no,PASS
F02-05-rseth-karak-pendle-yt-morpho,3 积分空投,0.00120791,52.48,no,PASS
F07-03-yt-weeth-points-speculation,3 积分空投,0.00032297,107136.69,yes,PASS
F07-09-yt-pufeth-symbiotic-stack,3 积分空投,0.00006950,82808.04,yes,PASS
F15-01-steth-direct-eigen-vs-ezeth,3 积分空投,0.02463879,3993.25,no,PASS
F15-02-eigen-cap-race-first-deposit,3 积分空投,0.00201154,1349.19,yes,PASS
F15-03-eigen-withdrawal-queue-secondary,3 积分空投,0.00205336,73.42,yes,PASS
F15-04-native-eigen-symbiotic-dualstack,3 积分空投,0.00131239,72.36,no,PASS
F15-05-eigen-operator-multi-avs-delegation,3 积分空投,0.00044572,1552.47,no,PASS
F15-06-eigenpod-native-validator-restake,3 积分空投,0.00040562,5278.94,no,PASS
F15-07-karak-multi-lrt-basket-vault,3 积分空投,0.00114402,47.38,no,PASS
F15-08-symbiotic-eigen-pendle-yt-triple,3 积分空投,0.01596820,1331.78,no,PASS
F18-05-eigen-symbiotic-karak-triple-restake,3 积分空投,0.00031916,1306.37,no,PASS
F03-01-steth-curve-depeg-lido-queue,4 脱锚套利,0.01002955,37182.46,no,PASS
F03-02-ezeth-balancer-depeg-renzo,4 脱锚套利,0.00085871,6270.42,no,PASS
F03-09-weeth-pectra-depeg,4 脱锚套利,0.00155641,14668.29,no,PASS
F04-01-dssflash-psm-curve-3pool-depeg,4 脱锚套利,0.00070578,48.91,no,PASS
F05-04-crvusd-peg-flashmint-arb,4 脱锚套利,0.02268075,259.19,no,PASS
F08-02-usde-usdt-balancer-flash-curve-peg-arb,4 脱锚套利,0.00053335,998.26,no,PASS
